Name,Bronze,Gold,Silver,Total
Jane Ellen Swagerty (-Hill),1,1,0,2
Janice "Jan" Andrew (-Thornett),1,0,1,2
Jazmin Roxy "Jazz" Carlin,0,0,2,2
Jean Auguste Boiteux,1,1,0,2
Jennie Fletcher (-Hyslop),1,1,0,2
Jens Kruppa,1,0,1,2
Jeremy Porter Linn,0,1,1,2
Jessica Adele Hardy (-Meichtry),1,1,0,2
Jiao Liuyang,0,1,1,2
Joan Arlene Spillane,0,2,0,2
Johan Kenkhuis,1,0,1,2
John Birnie Marshall,1,0,1,2
John David "Dave" Gillanders,1,1,0,2
John Edward Ferris,2,0,0,2
John Henry "Rob" Derbyshire,1,1,0,2
John Joseph Murphy,1,1,0,2
John Malcolm "Jon" Henricks,0,2,0,2
John Pitann Kinsella,0,1,1,2
John Scott Leary,1,0,1,2
Jolanda de Rover (-Toussaint),1,1,0,2
Jonathan Scott "Jon" Sieben,1,1,0,2
Joseph "Jo" Bernardo Garcia Rodriguez Marinelli,2,0,0,2
Joseph Stuart "Joe" Bottom,0,1,1,2
Jrg Woithe,0,1,1,2
Judit Temes (-Tuider),1,1,0,2
Judith "Jutta" Weber (-Meeuw),2,0,0,2
Julia Elizabeth Smit,1,0,1,2
June Alexandra Croft,1,0,1,2
KHARUN Ilya,2,0,0,2
Karl August Ruberl,1,0,1,2
Karl Gunnar Larsson,0,2,0,2
"Katalin Szke (Homonnai-, -Markovits, -Domjan)",0,2,0,2
Kathleen Baker,0,1,1,2
Katsuo Takaishi,1,0,1,2
"Keena Ruth Rothhammer (-Weisbly, -Zorovich)",1,1,0,2
Kenneth Arthur "Ken" Huszagh,1,0,1,2
Kimberley Marie "Kim" Peyton (-McDonald),0,2,0,2
Kirsten Vlieghuis,2,0,0,2
Klaus Steinbach,1,0,1,2
Kroly Gttler,0,0,2,2
Kylie Jayne Palmer,0,1,1,2
Lance Melvin Larson,0,1,1,2
Lars Hinneburg,1,0,1,2
Larsen Alan Jensen,1,0,1,2
Lea E. Loveless (-Maurer),1,1,0,2
Leah Smith,1,1,0,2
Leith Brodie,2,0,0,2
Lenore M. Kight-Wingard,1,0,1,2
Lia Neal,1,0,1,2
Lilly King,0,2,0,2
Lisa Rae Jacob,0,2,0,2
Louis Martin,2,0,0,2
Lovett Ian O'Brien,1,1,0,2
Lutz Unger,1,0,1,2
Lynette "Lyn" Bell (-Chipchase),0,0,2,2
Lynette Velma "Lyn" McClements (-McKenzie),0,1,1,2
Lynn Edythe Burke (-McConville),0,2,0,2
Lynn Marie Vidali (-Gautschi),1,0,1,2
Lyubov Petrovna Rusanova,1,0,1,2
MADDEN Paige,1,0,1,2
MANAUDOU Florent,2,0,0,2
MANUEL Simone,0,0,2,2
MILAK Kristof,0,1,1,2
Madeline Groves,0,0,2,2
Madison "Madi" Wilson,0,1,1,2
Mai Nakamura,1,0,1,2
Makoto Fukui,1,0,1,2
Manon van Rooijen,0,1,1,2
Margaret Darling Woodbridge (-Presley),0,1,1,2
Margot Wilhelmina Teunisje "Wilma" van Velsen,1,0,1,2
Maria Johanna "Zus" Philipsen-Braun,0,1,1,2
Mariechen M. Wehselau (-Jackson),0,1,1,2
Marina Vladimirovna Koshevaya,1,1,0,2
Mark Daniel Gangloff,0,2,0,2
Mark Pinger,2,0,0,2
Markus Antonius Rogan,0,0,2,2
Martina Moravcov,0,0,2,2
Masaji Kiyokawa,1,1,0,2
Matthew Haynes "Matt" Vogel,0,2,0,2
Michael "Mike" West,1,0,1,2
Michael Francis "Mike" Troy,0,2,0,2
Michael Lee "Mike" Bruner,0,2,0,2
Michelle Jan Ford (-Eriksson),1,1,0,2
Mitchell James "Mitch" Larkin,1,0,1,2
Nancy Ellen Garapick,2,0,0,2
Natalie Alwyne Steward,1,0,1,2
Nathaniel James "Nate" Dusing,1,0,1,2
Natsumi Hoshi,2,0,0,2
Neil Cochran,2,0,0,2
Nelson W. Diebel,0,2,0,2
Neville Ronald Hayes,0,0,2,2
Nicholas "Nick" Gillingham,1,0,1,2
Nicholas Brewer "Nick" Thoman,0,1,1,2
Nikita Konstantinovich Lobintsev,1,0,1,2
Nikolay Ivanovich Pankin,2,0,0,2
Nikolay Sergeyevich Yevseyev,1,0,1,2
Nina Alexandrovna Zhivanevskaya Ilichiova,2,0,0,2
Nobutaka Taguchi,1,1,0,2
Nomi Ildiko Lung,1,0,1,2
PALTRINIERI Gregorio,1,0,1,2
POPOVICI David,1,1,0,2
Patrick Murphy,2,0,0,2
Paul H. (-Paul Knuth) Wyatt,1,0,1,2
Pavlo Viktorovych Khnykin,0,0,2,2
Pernille Blume,1,1,0,2
Perry McGillivray,0,1,1,2
Peter Nocke,2,0,0,2
Petra Priemer (-Brinkmann),0,0,2,2
Petra Schneider (-Kind),0,1,1,2
"Petra Thmer (-Deckert, -Katzur)",0,2,0,2
Philip John "Phil" Rogers,2,0,0,2
Pua Kele Kealoha,0,1,1,2
QIN Haiyang,0,1,1,2
Qian Hong,1,1,0,2
RICHARDS Matthew,0,1,1,2
Rachel Komisarz,0,1,1,2
Rainer Henkel,1,0,1,2
Rebecca Gwendolyn "Becky" Smith (-Wiber),2,0,0,2
Reiko Nakamura,2,0,0,2
Reizo Koike,1,0,1,2
Richard Alan "Rich" Schroeder,0,2,0,2
Roger Pyttel,1,0,1,2
Roman Nikolayevich Yegorov,0,0,2,2
Ronald Parker "Ronnie" Mills,1,1,0,2
Rosemarie Kother-Gabriel,1,1,0,2
Roswitha Beier (-Sonntag),0,0,2,2
Roy Allen Saari,0,1,1,2
Ryan Andrew Cochrane,1,0,1,2
