Name,Bronze,Gold,Silver,Total
John Paul Lyndon Regis,1,0,1,2
John Thomas "Jack" Rimmer,0,2,0,2
John Wicktor Eke (Jonsson-),1,1,0,2
Jonathan A. "Jon" Drummond,0,1,1,2
Jonathan David Edwards,0,1,1,2
Joo Carlos de Oliveira,2,0,0,2
Joonas "Jonni" Myyr,0,2,0,2
Joseph Francis Stadler,1,0,1,2
Joseph Guillemot,0,1,1,2
Joseph Tilford Lee "Joe" Greene,2,0,0,2
"Josiah Calvin McCracken, Jr.",1,0,1,2
Jrgen Schult,0,1,1,2
Jri Tamm,2,0,0,2
Judith "Jutta" Heine,0,0,2,2
Juho Julius Saaristo,0,1,1,2
Julius Sang,1,1,0,2
"June Florence Foulds-Paul (-Carroll, -Reynolds)",1,0,1,2
Juris Silovs,1,0,1,2
Jzef Szmidt (-Schmidt),0,2,0,2
KELLY Hannah,2,0,0,2
KIPYEGON Faith,0,1,1,2
KLAVER Lieke,0,1,1,2
Kaarlo Hannes Maaninka,1,0,1,2
Karel Lismont,1,0,1,2
Karin Richert-Balzer,1,1,0,2
Karl Arthur Jonath,1,0,1,2
Karl-Friedrich Haas,1,0,1,2
Kathleen "Kathy" Hammond (-Tyson),1,0,1,2
Kathrin Neimke,1,0,1,2
Kathryn Joan "Kate" Schmidt,2,0,0,2
Kemar Bailey-Cole,0,2,0,2
Keshorn Walcott,1,1,0,2
Keston Bledman,0,1,1,2
Khrysopigi "Pigi" Devetzi,1,0,1,2
Kimberly Ann "Kim" Gallagher,1,0,1,2
Kirani James,0,1,1,2
Kjersti Tysse-Pltzer,0,0,2,2
Knut Andreas Lindberg,0,0,2,2
Koji Alexander Murofushi,1,1,0,2
LITTLE Shamier,0,1,1,2
LYLES Noah,1,1,0,2
Lacey Earnest Hearn,1,0,1,2
Lajos Gnczy (Grn-),1,0,1,2
Lalonde Keida Gordon,2,0,0,2
Lars Peter Riedel,0,1,1,2
Lauri Aleksanteri Lehtinen,0,1,1,2
Lauri Johannes "Lasse" Virtanen,2,0,0,2
Lauryn Chenet Williams,0,1,1,2
Lawrence Dean "Larry" Young,2,0,0,2
Lawrence Jeffery "Larry" Black,0,1,1,2
Lee Edward Evans,0,2,0,2
Lee Quincy Calhoun,0,2,0,2
Lennox Valencia Miller,1,0,1,2
Leonel Surez Fajardo,2,0,0,2
Leonid Volodymyrovych Barteniev,0,0,2,2
Leroy Braxton "Roy" Cochran,0,2,0,2
Lewis Pendleton Sheldon,2,0,0,2
Liliya Foatovna Nurutdinova,0,1,1,2
Lillian Copeland (Drossin-),0,1,1,2
Lillie Mae Leatherwood (-King),0,1,1,2
Lindy John Remigino,0,2,0,2
Liudmyla Stanislavivna Dzhyhalova,0,2,0,2
Lloyd Barrington LaBeach,2,0,0,2
Loren Murchison,0,2,0,2
Lorraine Graham (-Fenton),0,0,2,2
Louis Albert Corey,0,0,2,2
Luigi Beccali,1,1,0,2
Lyudmila Andreyevna Kondratyeva (-Sedykh),1,1,0,2
MARTIN Alvaro,1,1,0,2
MONTAG Jemima,2,0,0,2
MOORE Jasmine,2,0,0,2
Mac Maurice Wilkins,0,1,1,2
Madeline Manning-Jackson (-Mims),0,1,1,2
Maksim Vladimirovich Tarasov,1,1,0,2
Manfred Kinder,1,0,1,2
Marc Burns,0,1,1,2
Margitta Helmbold-Gummel,0,1,1,2
Maria Fernanda Moreira Ribeiro,1,1,0,2
Maria Sander (Domagala-),1,0,1,2
Maria de Lurdes Mutola,1,1,0,2
"Marianne Werner (Schulze-Entrup-, -Ader)",1,0,1,2
Maricica Puic (Luca-),1,1,0,2
Marion Lawrence "Larry" Shields,1,1,0,2
Marita Arthur Payne Wiggins,0,0,2,2
Marita Koch (-Meier),0,1,1,2
Mariya Dimitrova Vergova-Petkova,0,0,2,2
Marjorie Jackson (-Nelson),0,2,0,2
Mark Ashton Richardson,1,0,1,2
Mark James Crear,1,0,1,2
Marlene Elejarde Daz,1,0,1,2
Marlene Judith Mathews-Willard (-O'Shea),2,0,0,2
Marquis Franklin "Bill" Horr,1,0,1,2
Martinus Bernardus "Tinus" Osendarp,2,0,0,2
McLAUGHLIN-LEVRONE Sydney,0,2,0,2
Melissa Renee Morrison (-Howard),2,0,0,2
Melvin Emery "Mel" Patton,0,2,0,2
Michael Alexander "Mike" Conley,0,1,1,2
Michael Anthony "Mike" Powell,0,0,2,2
Michael Denny "Mike" Larrabee,0,2,0,2
Michael L. McDonald,1,0,1,2
Michelle Burgher,1,0,1,2
Mihaela Pene (-Brandsdorfer),0,1,1,2
Mikhail M. Dorizas,1,0,1,2
"Millard Frank Hampton, Jr.",0,1,1,2
Milton Gray "Milt" Campbell,0,1,1,2
Mirela Maniani-Tzelili,1,0,1,2
